year,currentPop,popFromStart,numHouseholds,averageHouseholdSize,marriageTally,marriagePropNow,divorceTally,shareSingleParents,shareFemaleSingleParent,taxPayers,taxBurden,familyCareRatio,employmentRate,shareWorkingHours,publicSocialCare,costPublicSocialCare,sharePublicSocialCare,costTaxFreeSocialCare,publicChildCare,costPublicChildCare,sharePublicChildCare,costTaxFreeChildCare,totalTaxRevenue,totalPensionRevenue,pensionExpenditure,totalHospitalizationCost,classShare_1,classShare_2,classShare_3,classShare_4,classShare_5,totalInformalChildCare,formalChildCare,childcareIncomeShare,shareInformalChildCare,shareCareGivers,ratioFemaleMaleCarers,shareMaleCarers,shareFemaleCarers,ratioWage,ratioIncome,shareFamilyCarer,share_over20Hours_FamilyCarers,averageHoursOfCare,share_40to64_carers,share_over65_carers,share_10PlusHours_over70,totalSocialCareNeed,totalInformalSocialCare,totalFormalSocialCare,totalUnmetSocialCareNeed,totalSocialCare,share_InformalSocialCare,share_UnmetSocialCareNeed,totalOWSC,shareOWSC,totalCostOWSC,q1_socialCareNeed,q1_informalSocialCare,q1_formalSocialCare,q1_unmetSocialCareNeed,q1_outOfWorkSocialCare,q2_socialCareNeed,q2_informalSocialCare,q2_formalSocialCare,q2_unmetSocialCareNeed,q2_outOfWorkSocialCare,q3_socialCareNeed,q3_informalSocialCare,q3_formalSocialCare,q3_unmetSocialCareNeed,q3_outOfWorkSocialCare,q4_socialCareNeed,q4_informalSocialCare,q4_formalSocialCare,q4_unmetSocialCareNeed,q4_outOfWorkSocialCare,q5_socialCareNeed,q5_informalSocialCare,q5_formalSocialCare,q5_unmetSocialCareNeed,q5_outOfWorkSocialCare,grossDomesticProduct,publicCareToGDP
1860,655,658,322,2.0341614906832297,5,0.9228187919463088,27,0.052173913043478265,1.0,597,0.0,1.0,0.9011725293132328,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41643.536543433074,27757.702109586968,2605.194909864519,800.0,0.2333333333333333,0.29,0.24,0.16666666666666666,0.07,0.0,0.0,0.0,0.0,0.0033500837520938024,0.5,0.0033444816053511705,0.003355704697986577,0.8138327678903999,0.81612150786172,1.0,0.0,8.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329920.7296394722,0.0
1861,717,720,328,2.1859756097560976,11,0.9026845637583892,17,0.07655502392344497,1.0,597,13.984589614740367,0.8333333333333334,0.8174204355108877,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38051.758909338816,25307.32818368396,2367.434158644074,2634.96042078728,0.23283082077051925,0.288107202680067,0.24120603015075376,0.16750418760469013,0.07035175879396985,4640.0,0.0,0.0,1.0,0.006700167504187605,0.25,0.010033444816053512,0.003355704697986577,0.754694762030342,0.6416540612487246,1.0,0.0,9.75,0.25,0.0,0.0,48.0,39.0,1.0,8.0,40.0,0.975,0.16666666666666666,0.0,0.0,0.0,16.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300086.2197350327,0.0
1862,778,783,330,2.357575757575757,9,0.8892617449664431,11,0.09824561403508772,0.9285714285714286,595,14.03159663865546,0.8888888888888888,0.8,0.9993697478991596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2766.347606485362,37728.852317484736,24438.464628055743,2305.983612075411,3924.578931411125,0.23283082077051925,0.288107202680067,0.24120603015075376,0.16750418760469013,0.07035175879396985,6461.0,1271.412789888947,0.02928945480684623,0.7871588693957114,0.011764705882352941,0.42857142857142855,0.013468013468013471,0.010067114093959731,0.7380227263670198,0.6043036987431648,1.0,0.0,9.142857142857142,0.14285714285714285,0.0,0.0,72.0,64.0,0.0,8.0,64.0,1.0,0.1111111111111111,0.0,0.0,0.0,24.0,16.0,0.0,8.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292765.6781530814,0.0
1863,836,841,335,2.495522388059701,10,0.87248322147651,15,0.11695906432748535,0.85,595,42.094789915966395,0.7857142857142857,0.8033613445378152,0.9893305439330544,0.0,0.0,0.0,0.0,96.0,576.0,0.014285714285714237,6116.8333692179785,38751.93579438801,24850.79772173605,2330.793783984565,6542.7809781044825,0.2336134453781513,0.2890756302521009,0.2403361344537815,0.16638655462184873,0.07058823529411765,8690.0,2342.428487696552,0.05294753928637118,0.7450274348422496,0.013445378151260505,0.25,0.020202020202020204,0.006711409395973154,0.7536634502911165,0.6142998016074253,1.0,0.0,11.0,0.25,0.0,0.0,112.0,88.0,0.0,24.0,88.0,1.0,0.21428571428571427,0.0,0.0,0.0,48.0,24.0,0.0,24.0,0.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296616.9159500795,0.0
1864,903,910,332,2.7198795180722892,11,0.8787878787878788,9,0.10852713178294572,0.7619047619047619,593,84.4735244519393,0.6842105263157895,0.7942664418212478,0.9851380042462844,0.0,0.0,0.0,0.0,1232.0,7392.0,0.1202185792349727,7475.7924351911315,39523.36112167837,24724.320631396527,2322.665354993223,9493.001009126256,0.2336134453781513,0.2890756302521009,0.2403361344537815,0.16638655462184873,0.07058823529411765,9645.0,3041.3337783201605,0.06693342508201995,0.7062829525483304,0.018549747048903883,0.2727272727272727,0.027027027027027032,0.010101010101010102,0.7062550216888279,0.6033286115446703,1.0,0.0,9.454545454545457,0.2727272727272727,0.0,0.0,152.0,104.0,0.0,48.0,104.0,1.0,0.3157894736842105,0.0,0.0,0.0,72.0,40.0,0.0,40.0,0.0,64.0,56.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296413.74765816896,0.0
1865,950,959,333,2.8528528528528527,16,0.8716216216216216,17,0.13075060532687652,0.7777777777777778,591,141.26565143824027,0.6,0.7868020304568528,0.9759139784946236,0.0,0.0,0.0,0.0,2508.0,15048.0,0.18583283935981032,8760.543321035531,38999.749638443296,24388.40434250136,2283.141778397713,13351.65667230894,0.23440134907251264,0.2900505902192243,0.2394603709949409,0.16526138279932545,0.07082630691399662,12028.0,3347.7403149079632,0.07431465154382555,0.7286164283983523,0.02030456852791878,0.3333333333333333,0.02711864406779661,0.013513513513513514,0.7544284357108879,0.6142052486826001,1.0,0.0,10.0,0.25,0.0,0.0,200.0,120.0,0.0,80.0,120.0,1.0,0.4,0.0,0.0,0.0,96.0,48.0,0.0,64.0,0.0,48.0,32.0,0.0,16.0,0.0,32.0,32.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291531.35892558657,0.0
1866,999,1009,336,2.9732142857142856,6,0.8581081081081081,9,0.15555555555555556,0.8,590,198.10711864406773,0.5483870967741935,0.8016949152542373,0.9636363636363636,0.0,0.0,0.0,0.0,4488.0,26928.0,0.2585253456221198,9300.5853928666,38224.13573471515,24139.74647833717,2274.247942336872,17343.879243683314,0.23519458544839256,0.2876480541455161,0.24027072758037224,0.1658206429780034,0.07106598984771574,11940.0,3628.955838912923,0.07931431882510978,0.7110528823249166,0.025423728813559324,0.4,0.030612244897959183,0.020270270270270268,0.7319969049503423,0.6276574497718602,0.9333333333333332,0.0,9.066666666666666,0.3333333333333333,0.0,0.0,248.0,136.0,0.0,112.0,136.0,1.0,0.4516129032258064,0.0,0.0,0.0,152.0,56.0,0.0,96.0,0.0,80.0,64.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289597.7031743812,0.0
1867,1052,1065,338,3.1124260355029585,12,0.8445945945945946,14,0.15879828326180254,0.8648648648648649,588,212.9795918367347,0.5945945945945946,0.7874149659863946,0.9436285097192224,0.0,0.0,0.0,0.0,6360.0,38160.0,0.3173652694610778,9423.712595618941,37108.848711769264,23224.774469627213,2198.9894795830537,20117.549339057685,0.23559322033898306,0.2864406779661017,0.2406779661016949,0.16610169491525426,0.0711864406779661,12890.0,3653.3637706678473,0.08466882419182198,0.7290723981900452,0.0391156462585034,0.43478260869565216,0.04452054794520549,0.03378378378378378,0.7068947110693586,0.5843877313038899,0.8695652173913043,0.0,7.6521739130434785,0.43478260869565216,0.0,0.0,296.0,176.0,0.0,120.0,176.0,1.0,0.40540540540540543,0.0,0.0,0.0,168.0,80.0,0.0,96.0,0.0,80.0,56.0,0.0,24.0,0.0,16.0,16.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280038.54998731107,0.0
1868,1087,1101,344,3.1598837209302326,14,0.8209459459459459,20,0.1970649895178197,0.8297872340425532,587,270.233730834753,0.5128205128205128,0.8109028960817717,0.9512605042016806,0.0,0.0,0.0,0.0,8448.0,50688.0,0.3700070077084793,9460.384588544903,39325.402281037364,23856.45038790076,2277.497587853135,22196.42842505753,0.2346938775510204,0.2874149659863945,0.2414965986394557,0.1649659863945578,0.07142857142857142,13711.0,3702.477712503422,0.08239669724386672,0.7268341815097541,0.037478705281090284,0.3636363636363637,0.048109965635738834,0.027027027027027032,0.7614018255202978,0.6291731559140691,0.8636363636363636,0.0,7.2727272727272725,0.3636363636363637,0.0,0.0,312.0,160.0,0.0,152.0,160.0,1.0,0.4871794871794872,0.0,0.0,0.0,160.0,56.0,0.0,128.0,0.0,64.0,40.0,0.0,24.0,0.0,32.0,32.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,290746.04282901913,0.0
1869,1121,1136,334,3.356287425149701,20,0.8513513513513513,10,0.15053763440860216,0.8571428571428571,586,327.68327645051187,0.5208333333333334,0.8293515358361775,0.9358024691358025,0.0,0.0,0.0,0.0,10148.0,60888.0,0.39078866296980896,10205.984081477249,38228.338596006935,23713.473491726625,2274.330480186241,27677.87490868804,0.2333901192504259,0.2879045996592845,0.24190800681431004,0.16524701873935266,0.07155025553662693,13295.0,4022.480362550279,0.09229364689349764,0.7109625668449198,0.040955631399317405,0.4166666666666667,0.04827586206896552,0.03378378378378378,0.7686306402086778,0.6700298257862823,0.9166666666666666,0.0,8.333333333333334,0.4583333333333333,0.0,0.0,384.0,200.0,0.0,184.0,200.0,1.0,0.4791666666666667,0.0,0.0,0.0,184.0,64.0,0.0,152.0,0.0,96.0,80.0,0.0,16.0,0.0,40.0,24.0,0.0,16.0,0.0,16.0,16.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,288866.9369645568,0.0
