year,currentPop,popFromStart,numHouseholds,averageHouseholdSize,marriageTally,marriagePropNow,divorceTally,shareSingleParents,shareFemaleSingleParent,taxPayers,taxBurden,familyCareRatio,employmentRate,shareWorkingHours,publicSocialCare,costPublicSocialCare,sharePublicSocialCare,costTaxFreeSocialCare,publicChildCare,costPublicChildCare,sharePublicChildCare,costTaxFreeChildCare,totalTaxRevenue,totalPensionRevenue,pensionExpenditure,totalHospitalizationCost,classShare_1,classShare_2,classShare_3,classShare_4,classShare_5,totalInformalChildCare,formalChildCare,childcareIncomeShare,shareInformalChildCare,shareCareGivers,ratioFemaleMaleCarers,shareMaleCarers,shareFemaleCarers,ratioWage,ratioIncome,shareFamilyCarer,share_over20Hours_FamilyCarers,averageHoursOfCare,share_40to64_carers,share_over65_carers,share_10PlusHours_over70,totalSocialCareNeed,totalInformalSocialCare,totalFormalSocialCare,totalUnmetSocialCareNeed,totalSocialCare,share_InformalSocialCare,share_UnmetSocialCareNeed,totalOWSC,shareOWSC,totalCostOWSC,q1_socialCareNeed,q1_informalSocialCare,q1_formalSocialCare,q1_unmetSocialCareNeed,q1_outOfWorkSocialCare,q2_socialCareNeed,q2_informalSocialCare,q2_formalSocialCare,q2_unmetSocialCareNeed,q2_outOfWorkSocialCare,q3_socialCareNeed,q3_informalSocialCare,q3_formalSocialCare,q3_unmetSocialCareNeed,q3_outOfWorkSocialCare,q4_socialCareNeed,q4_informalSocialCare,q4_formalSocialCare,q4_unmetSocialCareNeed,q4_outOfWorkSocialCare,q5_socialCareNeed,q5_informalSocialCare,q5_formalSocialCare,q5_unmetSocialCareNeed,q5_outOfWorkSocialCare,grossDomesticProduct,publicCareToGDP
1860,656,656,312,2.1025641025641026,6,0.96,18,0.03636363636363636,1.0,600,0.0,1.0,0.905,1.0,0,0.0,0.0,0.0,0,0.0,0,0,39104.47807797971,27059.87089046355,2560.953431333538,400.0,0.2,0.36,0.23666666666666666,0.15333333333333332,0.05,0,0,0.0,0,0.0016666666666666668,0.0,0.0033333333333333335,0.0,0.8115843654110982,0.809061844309386,1.0,0.0,8.0,0.0,0.0,0,8.0,8.0,0,0.0,8.0,1.0,0.0,0,0.0,0,0.0,0,0,0.0,0,8.0,8.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,322259.6921017968,0.0
1861,712,713,324,2.197530864197531,8,0.92,20,0.07,0.8571428571428571,600,34.78666666666667,0.6153846153846154,0.825,1.0,0,0.0,0.0,0.0,0,0.0,0,0,37299.41914136484,25092.830477809595,2368.2461604683895,3215.873679831797,0.2,0.36,0.23666666666666666,0.15333333333333332,0.05,4400.0,0,0.0,1.0,0.0033333333333333335,0.5,0.0033333333333333335,0.0033333333333333335,0.7633488752873369,0.6509053641634772,1.0,0.5,16.0,0.0,0.0,0,52.0,32.0,0,20.0,32.0,1.0,0.38461538461538464,0,0.0,0,8.0,0,0,8.0,0,44.0,32.0,0,12.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,299202.36437180365,0.0
1862,775,776,330,2.3484848484848486,16,0.9,22,0.07719298245614035,0.8181818181818182,600,20.872,0.8421052631578947,0.8133333333333334,1.0,0,0.0,0.0,0.0,0,0.0,0.0,3062.2576664563576,36714.709948646196,24732.068132788016,2331.835628447585,4119.8420997897465,0.2,0.36,0.23666666666666666,0.15333333333333332,0.05,6160.0,1277.2303794016066,0.028894789936204354,0.806282722513089,0.008333333333333333,0.4,0.01,0.006666666666666667,0.7457312185546996,0.6137441779473176,1.0,0.2,12.8,0.0,0.0,0,76.0,64.0,0,12.0,64.0,1.0,0.15789473684210525,0,0.0,0,24.0,24.0,0,0.0,0,44.0,32.0,0,12.0,0,8.0,8.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,294617.10961351893,0.0
1863,832,833,335,2.4835820895522387,11,0.8833333333333333,16,0.09174311926605505,0.8,600,62.616,0.64,0.81,0.9975308641975309,0,0.0,0.0,0.0,48.0,288.0,0.007653061224489832,5621.499653152769,36339.127038318984,24662.74930589991,2321.5094501044814,5842.498833419499,0.2,0.36,0.23666666666666666,0.15333333333333332,0.05,8298.0,2390.830150694727,0.05456439247552961,0.7366832386363636,0.01,0.16666666666666666,0.016666666666666666,0.0033333333333333335,0.7377207823735584,0.6074439172647148,1.0,0.16666666666666666,10.666666666666666,0.3333333333333333,0.0,0,100.0,64.0,0,36.0,64.0,1.0,0.36,0,0.0,0,8.0,0,0,8.0,0,60.0,40.0,0,20.0,0,16.0,8.0,0,8.0,0,16.0,16.0,0,0.0,0,0.0,0,0,0.0,0,293114.2802717439,0.0
1864,879,882,340,2.585294117647059,12,0.8633333333333333,17,0.14713896457765668,0.8148148148148148,599,153.31686143572622,0.5111111111111111,0.8130217028380634,0.9891170431211499,0,0.0,0.0,0.0,1148.0,6888.0,0.11743044189852703,7797.490642099215,37019.362472644934,24392.690741797054,2313.60157106028,12243.827475111771,0.2,0.36,0.23666666666666666,0.15333333333333332,0.05,9280.0,3065.7840508825684,0.06919342787121736,0.7079646017699115,0.01669449081803005,0.3,0.023411371237458192,0.01,0.7424390816387403,0.6055247388148227,1.0,0.1,9.2,0.3,0.0,0,180.0,92.0,0,88.0,92.0,1.0,0.4888888888888889,0,0.0,0,124.0,52.0,0,80.0,0,0.0,0,0,0.0,0,32.0,24.0,0,8.0,0,8.0,8.0,0,0.0,0,8.0,8.0,0,0.0,0,292652.60575290787,0.0
1865,938,942,341,2.7507331378299122,12,0.8595317725752508,13,0.13106796116504854,0.7407407407407407,598,202.43745819397995,0.4727272727272727,0.802675585284281,0.9816666666666667,0,0.0,0.0,0.0,2336.0,14016.0,0.1809169764560099,8586.41547625644,35534.65543301209,23815.31746845601,2260.2682300826004,15763.059488080733,0.1986644407345576,0.3606010016694491,0.2370617696160267,0.15358931552587646,0.05008347245409015,10155.0,3499.185800015,0.07958064485340968,0.7005380794701986,0.01839464882943144,0.2727272727272727,0.026755852842809364,0.010033444816053512,0.6979659344590367,0.5746330017268018,1.0,0.0,9.363636363636363,0.36363636363636365,0.0,0,220.0,103.0,1.0,116.0,104.0,0.9903846153846154,0.5272727272727272,0,0.0,0,124.0,24.0,0,116.0,0,24.0,24.0,0,0.0,0,24.0,24.0,0,0.0,0,24.0,23.0,1.0,0.0,0,8.0,8.0,0,0.0,0,285199.72120084893,0.0
1866,982,990,335,2.9313432835820894,20,0.8662207357859532,14,0.1258741258741259,0.8518518518518519,594,293.4026936026936,0.5695876288659794,0.803030303030303,0.9643605870020965,0.0,0.0,0.0,0.0,4244.0,25464.0,0.27107818088911595,9119.43625604579,34557.47262489087,23248.718543383682,2211.7697027579547,25010.303828989556,0.19899665551839466,0.3595317725752508,0.23745819397993312,0.15384615384615385,0.05016722408026756,11617.0,3737.449986147248,0.08928422810261624,0.7165679743399951,0.03535353535353535,0.3333333333333333,0.04745762711864407,0.023411371237458192,0.7319747827779506,0.5951803049866065,1.0,0.047619047619047616,10.476190476190476,0.3333333333333333,0.0,0,388.0,220.0,1.0,167.0,221.0,0.995475113122172,0.43041237113402064,0,0.0,0,156.0,72.0,1.0,107.0,0,64.0,60.0,0,4.0,0,104.0,48.0,0,56.0,0,8.0,8.0,0,0.0,0,24.0,24.0,0,0.0,0,278415.3567883833,0.0
1867,1032,1041,336,3.0714285714285716,14,0.862876254180602,15,0.12026726057906459,0.8888888888888888,594,224.88350168350166,0.6831683168316832,0.8080808080808081,0.9589583333333334,0.0,0.0,0.0,0.0,6048.0,36288.0,0.31898734177215193,9686.00437523356,36428.55833427179,23736.59471830205,2258.0380711952107,24730.88334270999,0.19865319865319866,0.36195286195286197,0.2356902356902357,0.1531986531986532,0.050505050505050504,11956.0,3894.5720047922896,0.08691253306778277,0.7137058261700095,0.04713804713804714,0.42857142857142855,0.05423728813559322,0.04013377926421405,0.7455605730235682,0.6280931664385769,1.0,0.03571428571428571,9.75,0.39285714285714285,0.0,0,404.0,273.0,2.4093435864778368,128.0,275.40934358647786,0.9912517725248442,0.31683168316831684,0,0.0,0,148.0,75.0,1.0,72.0,0,96.0,96.0,0,0.0,0,112.0,56.0,0,56.0,0,16.0,16.0,0,0.0,0,24.0,22.0,1.4093435864778368,0.0,0,285557.01485693397,0.0
1868,1081,1092,338,3.198224852071006,8,0.8528428093645485,10,0.13333333333333333,0.9032258064516129,593,316.77571669477237,0.6086956521739131,0.8161888701517707,0.9572314049586776,0.0,0.0,0.0,0.0,7796.0,46776.0,0.36039201183431957,10528.657845735344,37569.2376319773,24311.911836558957,2297.4888512405228,29282.104435690584,0.19865319865319866,0.36195286195286197,0.2356902356902357,0.1531986531986532,0.050505050505050504,12870.0,4064.4394840419,0.08788430593731784,0.7215743440233237,0.048903878583473864,0.41379310344827586,0.05782312925170068,0.04013377926421405,0.7489948734319505,0.6758044261005084,1.0,0.034482758620689655,9.482758620689655,0.41379310344827586,0.0,0,460.0,275.0,5.0,180.0,280.0,0.9821428571428571,0.391304347826087,0,0.0,0,172.0,79.0,1.0,92.0,0,112.0,88.0,0,24.0,0,136.0,72.0,0,64.0,0,16.0,16.0,0,0.0,0,24.0,20.0,4.0,0.0,0,291039.03988809616,0.0
1869,1123,1135,330,3.403030303030303,17,0.8762541806020067,9,0.11320754716981132,0.8888888888888888,592,414.2668918918919,0.5582706766917294,0.7888513513513513,0.9588865096359743,0.0,0.0,0.0,0.0,9600.0,57600.0,0.3929273084479371,10976.955250215977,36268.23016877738,23219.945141559132,2219.79084180487,34815.813906459414,0.19898819561551434,0.3608768971332209,0.23608768971332209,0.15345699831365936,0.050590219224283306,13423.0,4012.2152548352615,0.0942401346466739,0.7097609983079526,0.05067567567567568,0.5,0.051194539249146756,0.05016722408026756,0.7567694806164842,0.6411553061935398,1.0,0.03333333333333333,9.833333333333334,0.4666666666666667,0.0,0,532.0,295.0,2.0,235.0,297.0,0.9932659932659933,0.4417293233082707,0,0.0,0,220.0,80.0,1.0,147.0,0,88.0,72.0,0,16.0,0,64.0,48.0,0,16.0,0,112.0,55.0,1.0,56.0,0,24.0,24.0,0,0.0,0,280539.2315601341,0.0
1870,1159,1174,330,3.512121212121212,11,0.87248322147651,11,0.13305613305613306,0.84375,590,484.6549152542373,0.5308219178082192,0.8050847457627118,0.9517894736842105,0.0,0.0,0.0,0.0,11220.0,67320.0,0.411169744942832,10779.577230366942,35772.415269527926,23220.36921538708,2223.05482630947,38792.67418029975,0.19932432432432431,0.3614864864864865,0.23648648648648649,0.15202702702702703,0.05067567567567568,14201.0,4096.501881529475,0.09200279020793826,0.7309553222153593,0.05593220338983051,0.5454545454545454,0.05136986301369863,0.06040268456375839,0.7967627043881497,0.6950568993173792,1.0,0.030303030303030304,9.151515151515152,0.5151515151515151,0.0,0,584.0,302.0,8.0,274.0,310.0,0.9741935483870968,0.4691780821917808,0,0.0,0,168.0,76.0,1.0,115.0,0,168.0,64.0,1.0,103.0,0,64.0,64.0,0,0.0,0,144.0,86.0,2.0,56.0,0,16.0,12.0,4.0,0.0,0,280411.83713302715,0.0
1871,1206,1223,334,3.6107784431137726,11,0.8523489932885906,15,0.14634146341463414,0.8611111111111112,588,532.4489795918367,0.512987012987013,0.8129251700680272,0.951673640167364,0.0,0.0,0.0,0.0,12856.0,77136.0,0.4337381916329285,11281.19999999982,36961.36600116592,23569.254946865105,2254.8316073668325,42062.9146909719,0.19830508474576272,0.3610169491525424,0.23728813559322035,0.15254237288135594,0.05084745762711865,14396.0,4386.57358166848,0.09877200059029022,0.7232717041800643,0.05272108843537415,0.5483870967741935,0.04827586206896552,0.05704697986577181,0.7791414135824448,0.7039593931579765,1.0,0.03225806451612903,10.129032258064516,0.5483870967741935,0.0,0,616.0,314.0,2.0,300.0,316.0,0.9936708860759493,0.487012987012987,0,0.0,0,256.0,118.0,2.0,144.0,0,160.0,68.0,0,92.0,0,40.0,32.0,0,8.0,0,136.0,80.0,0,56.0,0,16.0,16.0,0,0.0,0,285163.7183700393,0.0
1872,1231,1252,334,3.68562874251497,15,0.847972972972973,16,0.17142857142857143,0.8571428571428571,585,581.5617094017093,0.6100478468899522,0.8136752136752137,0.9523109243697478,160.0,2720.0,0.19138755980861244,0.0,14440.0,86640.0,0.45414517549377276,10609.87728162687,36206.76278333922,23250.7289191741,2234.033135097218,53975.211302975375,0.1989795918367347,0.3622448979591837,0.23469387755102042,0.15306122448979592,0.05102040816326531,14767.0,4086.7605477453217,0.09236969774488624,0.7429563292412961,0.05641025641025641,0.42424242424242425,0.0657439446366782,0.0472972972972973,0.8237146433009968,0.7113299088162441,1.0,0.030303030303030304,10.303030303030303,0.6666666666666666,0.0,0,836.0,340.0,10.0,326.0,350.0,0.9714285714285714,0.38995215311004783,4.0,0.011764705882352941,0.0,392.0,132.0,5.0,215.0,4.0,220.0,92.0,0,48.0,0,104.0,40.0,1.0,63.0,0,56.0,56.0,0,0.0,0,16.0,12.0,4.0,0.0,0,281686.6653137755,0.0096561191385121
